,s_id,Station_name,Street,Neighbourhood,Area_loc,s_lat,s_lon,s_num_docks,Size_bucket
428,200168,"Southern Grove, Bow",Southern Grove,Bow,East,51.523538,-0.030556,17,100
429,200150,"Cantrell Road, Bow",Cantrell Road,Bow,East,51.521564,-0.022694,24,100
430,22178,"Lindfield Street, Poplar",Lindfield Street,Poplar,East,51.513757,-0.020467,44,150
431,200174,"Mostyn Grove, Bow",Mostyn Grove,Bow,North,51.530535,-0.025492,46,200
432,200006,"Hewison Street, Old Ford",Hewison Street,Old Ford,North,51.533283,-0.028155,18,100
433,200019,"Malmesbury Road, Bow",Malmesbury Road,Bow,North,51.529452,-0.027616,21,100
434,22167,"Millharbour, Millwall",Millharbour,Millwall,East,51.496137,-0.019355,18,100
435,200155,"Gascoyne Road, Victoria Park",Gascoyne Road,Victoria Park,North,51.541515,-0.038557,20,100
436,200004,"Lightermans Road, Millwall",Lightermans Road,Millwall,East,51.499041,-0.020157,29,100
437,200009,"Stebondale Street, Cubitt Town",Stebondale Street,Cubitt Town,East,51.489096,-0.009205,29,100
438,200018,"Spindrift Avenue, Millwall",Spindrift Avenue,Millwall,East,51.49109,-0.018716,35,150
439,200012,"Stepney Green Station, Stepney",Stepney Green Station,Stepney,East,51.521889,-0.04667,21,100
440,200156,"Pott Street, Bethnal Green",Pott Street,Bethnal Green,North,51.527152,-0.058005,20,100
441,200115,"Flamborough Street, Limehouse",Flamborough Street,Limehouse,East,51.512871,-0.038986,24,100
442,200022,"Saunders Ness Road, Cubitt Town",Saunders Ness Road,Cubitt Town,East,51.487129,-0.009001,35,150
443,200052,"Exhibition Road Museums 2, South Kensington",Exhibition Road Museums 2,South Kensington,South_West,51.495947,-0.173689,14,50
444,22166,"Albert Gardens, Stepney",Albert Gardens,Stepney,East,51.51328,-0.047784,33,150
445,22172,"Bromley High Street, Bow",Bromley High Street,Bow,East,51.528828,-0.013258,23,100
446,22173,"Old Ford Road, Bethnal Green",Old Ford Road,Bethnal Green,North,51.531127,-0.048017,24,100
447,22174,"Granby Street, Shoreditch",Granby Street,Shoreditch,North,51.525645,-0.069543,37,150
448,22175,"Canton Street, Poplar",Canton Street,Poplar,East,51.511811,-0.025626,23,100
449,22176,"Reardon Street, Wapping",Reardon Street,Wapping,East,51.506946,-0.058681,22,100
450,22177,"Christian Street, Whitechapel",Christian Street,Whitechapel,East,51.513074,-0.064094,34,150
451,200090,"Pennington Street, Wapping",Pennington Street,Wapping,East,51.508622,-0.065006,44,150
452,200249,"Queen Mary's, Mile End",Queen Mary's,Mile End,East,51.522507,-0.041378,44,150
453,200230,"Maplin Street, Mile End",Maplin Street,Mile End,North,51.525501,-0.032267,39,150
454,200233,"South Quay East, Canary Wharf",South Quay East,Canary Wharf,East,51.50196,-0.016251,36,150
455,200252,"Bow Church Station, Bow",Bow Church Station,Bow,East,51.528169,-0.018703,37,150
456,200255,"Devons Road, Bow",Devons Road,Bow,East,51.52512,-0.015578,39,150
457,200242,"Merchant Street, Bow",Merchant Street,Bow,North,51.526578,-0.027581,27,100
458,200251,"Bow Road Station, Bow",Bow Road Station,Bow,North,51.527058,-0.025296,41,150
459,200011,"Furze Green, Bow",Furze Green,Bow,East,51.519265,-0.021345,28,100
460,200148,"Ansell House, Stepney",Ansell House,Stepney,East,51.520019,-0.05438,41,150
461,200073,"Cephas Street, Bethnal Green",Cephas Street,Bethnal Green,East,51.522561,-0.054883,24,100
462,200241,"Bonner Gate, Victoria Park",Bonner Gate,Victoria Park,North,51.53341,-0.049591,21,100
463,200250,"Cleveland Way, Stepney",Cleveland Way,Stepney,East,51.520893,-0.051394,33,150
464,200243,"St. John's Park, Cubitt Town",St. John's Park,Cubitt Town,East,51.496454,-0.009506,30,100
465,200038,"Ackroyd Drive, Bow",Ackroyd Drive,Bow,East,51.520398,-0.026768,27,100
466,200036,"Bell Lane, Liverpool Street",Bell Lane,Liverpool Street,East,51.517475,-0.075855,23,100
467,200131,"Clarkson Street, Bethnal Green",Clarkson Street,Bethnal Green,North,51.528692,-0.059091,31,150
468,200157,"Fournier Street, Whitechapel",Fournier Street,Whitechapel,East,51.519362,-0.074431,18,100
469,200253,"Fore Street Avenue, Guildhall",Fore Street Avenue,Guildhall,East,51.517842,-0.090075,18,100
470,200238,"Westferry DLR, Limehouse",Westferry DLR,Limehouse,East,51.509303,-0.025996,39,150
471,200256,"Sutton Street, Shadwell",Sutton Street,Shadwell,East,51.511066,-0.053558,33,150
472,200083,"Pritchard's Road, Bethnal Green",Pritchard's Road,Bethnal Green,North,51.532091,-0.06142,29,100
473,200162,"Watney Market, Stepney",Watney Market,Stepney,East,51.514222,-0.055656,51,200
474,200008,"Portman Square, Marylebone",Portman Square,Marylebone,Central,51.516204,-0.155525,17,100
475,200080,"Russell Gardens, Olympia",Russell Gardens,Olympia,South_West,51.500088,-0.211316,24,100
476,200089,"Chrisp Street Market, Poplar",Chrisp Street Market,Poplar,East,51.5112,-0.014438,17,100
477,200027,"Ford Road, Old Ford",Ford Road,Old Ford,North,51.532513,-0.033085,18,100
478,200041,"Antill Road, Mile End",Antill Road,Mile End,North,51.528224,-0.037471,30,100
479,200254,"Teviot Street, Poplar",Teviot Street,Poplar,East,51.518811,-0.011662,33,150
480,200234,"Bancroft Road, Bethnal Green",Bancroft Road,Bethnal Green,North,51.526041,-0.047218,21,100
481,200030,"Driffield Road, Old Ford",Driffield Road,Old Ford,North,51.534137,-0.037366,19,100
482,200161,"Clinton Road, Mile End",Clinton Road,Mile End,North,51.525941,-0.036017,36,150
483,200160,"Langdon Park, Poplar",Langdon Park,Poplar,East,51.51549,-0.013475,23,100
484,200017,"Lancaster Gate , Bayswater",Lancaster Gate,Bayswater,Central,51.511654,-0.179668,38,150
485,200153,"Blythe Road, Olympia",Blythe Road,Olympia,South_West,51.496927,-0.2135,24,100
486,200143,"Lancaster Drive, Blackwall",Lancaster Drive,Blackwall,East,51.503143,-0.008428,26,100
487,200154,"Hansard Mews, Holland Park",Hansard Mews,Holland Park,West,51.503802,-0.215808,20,100
488,200088,"Clarges Street, Mayfair",Clarges Street,Mayfair,Central,51.507326,-0.145827,16,100
489,200010,"Manresa Road, Chelsea",Manresa Road,Chelsea,South_West,51.486892,-0.170983,17,100
490,200146,"Newby Place, Poplar",Newby Place,Poplar,East,51.508896,-0.012413,17,100
491,200167,"Twig Folly Bridge, Mile End",Twig Folly Bridge,Mile End,North,51.530326,-0.042744,21,100
492,200163,"Jubilee Plaza, Canary Wharf",Jubilee Plaza,Canary Wharf,East,51.5034,-0.020242,62,200
493,200165,"Wellington Row, Bethnal Green",Wellington Row,Bethnal Green,North,51.528222,-0.069743,33,150
494,200159,"Goldsmith's Row, Haggerston",Goldsmith's Row,Haggerston,North,51.531864,-0.066035,27,100
495,200145,"Gloucester Avenue, Camden Town",Gloucester Avenue,Camden Town,North,51.537349,-0.147154,24,100
496,200024,"Queensbridge Road, Haggerston",Queensbridge Road,Haggerston,North,51.53385,-0.06992,35,150
497,200239,"Old Montague Street, Whitechapel",Old Montague Street,Whitechapel,East,51.51793,-0.067937,18,100
498,200050,"Naval Row, Blackwall",Naval Row,Blackwall,East,51.508981,-0.00699,21,100
499,200151,"Hoxton Station, Hoxton",Hoxton Station,Hoxton,North,51.531091,-0.075901,22,100
500,200134,"Albany Street, The Regent's Park",Albany Street,The Regent's Park,North,51.528302,-0.144466,27,100
501,200096,"Green Park Station, Mayfair",Green Park Station,Mayfair,Central,51.506613,-0.142844,28,100
502,200147,"Salmon Lane, Limehouse",Salmon Lane,Limehouse,East,51.514115,-0.033828,33,150
503,200065,"Lansdowne Walk, Ladbroke Grove",Lansdowne Walk,Ladbroke Grove,West,51.509591,-0.204666,20,100
504,200051,"Percival Street, Finsbury",Percival Street,Finsbury,North,51.526153,-0.102208,22,100
505,200070,"Arlington Road, Camden Town",Arlington Road,Camden Town,North,51.539957,-0.145246,23,100
506,200044,"New Fetter Lane, Holborn",New Fetter Lane,Holborn,Central,51.517428,-0.107987,21,100
507,200127,"East India DLR, Blackwall",East India DLR,Blackwall,East,51.509474,-0.002275,51,200
508,200076,"Westminster Bridge Road, Elephant & Castle",Westminster Bridge Road,Elephant & Castle,South_West,51.498386,-0.107913,26,100
509,200132,"Gaywood  Street, Elephant & Castle",Gaywood  Street,Elephant & Castle,South_West,51.49605,-0.104193,45,150
510,200102,"Harford Street, Mile End",Harford Street,Mile End,East,51.521564,-0.039264,23,100
511,200066,"Import Dock, Canary Wharf",Import Dock,Canary Wharf,East,51.505772,-0.01646,38,150
512,200149,"Watney Street, Shadwell",Watney Street,Shadwell,East,51.511542,-0.056667,27,100
513,200064,"Regent's Row , Haggerston",Regent's Row,Haggerston,North,51.535678,-0.062546,24,100
514,200078,"Aberfeldy Street, Poplar",Aberfeldy Street,Poplar,East,51.513548,-0.005659,16,100
